Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
127,11,3,40,80,1,1,0,3,0,4,0,13,2,2,4,2,5,4,31,32,1,1,8,9,3,0,3,4,1,2,4,4,0,25,6,0,500,286,1,4,1,4,180,0,0,70,0,0,2,0,2,1,3,3,6,1,5,1,30,2,2,118,5,5,2,0,144,0,0,0,0,3,2,1,0,1,1,8,4,11.759785542901755
889,0,3,65,808,1,1,0,3,0,4,1,12,2,2,0,2,7,5,37,38,0,5,12,13,3,0,2,2,2,4,1,1,0,112,5,107,527,624,1,0,1,4,654,0,0,646,1,0,2,0,4,1,2,6,6,1,5,1,37,3,2,248,5,5,2,29,145,0,0,48,0,3,2,1,0,9,1,8,4,12.498742259492994
793,5,3,62,449,1,1,0,3,0,1,0,15,2,2,0,5,6,4,11,11,1,1,7,7,3,0,2,4,2,2,4,0,2,382,6,0,135,312,1,0,1,4,295,215,0,585,1,0,2,1,3,1,3,6,6,1,5,1,10,3,2,129,5,5,2,96,101,0,0,0,0,3,2,1,0,5,1,8,4,12.50539915757667
110,0,3,75,632,1,1,0,3,0,4,0,14,2,2,0,2,5,5,33,34,3,1,8,9,1,236,3,4,1,2,4,4,1,312,6,0,558,590,1,0,1,4,617,0,0,520,0,0,2,0,3,1,3,5,6,1,5,1,33,2,2,200,5,5,2,0,95,0,0,0,0,3,3,1,0,0,4,0,4,12.154779351142624
422,0,3,40,821,1,1,0,3,0,2,0,14,2,2,0,2,5,6,32,10,1,1,4,4,4,73,2,4,1,2,4,4,0,489,6,0,192,537,1,2,1,4,541,0,0,399,0,1,2,0,3,1,2,6,6,1,5,1,32,0,2,188,5,5,2,140,0,0,0,0,0,3,2,1,0,5,3,8,4,12.2783933071098
1197,5,3,28,766,1,1,0,3,0,4,0,8,2,2,0,5,6,4,0,1,1,1,11,12,3,0,2,4,2,2,4,0,6,0,6,0,470,171,1,0,1,4,129,254,0,528,0,0,2,1,4,1,2,7,6,1,2,3,0,0,3,265,5,5,2,40,8,0,0,0,0,3,2,1,0,10,0,6,5,12.297785453453374
561,0,3,40,600,1,1,0,3,0,4,0,19,2,2,0,2,4,5,53,15,3,1,12,13,1,112,3,4,1,2,4,4,0,501,6,0,29,455,1,4,1,4,448,0,0,289,1,0,1,1,3,1,3,3,4,1,2,5,53,3,2,187,5,5,2,0,0,0,0,7,0,3,2,1,0,4,4,8,4,11.70766954176274
1041,0,3,58,722,1,1,3,3,0,0,0,19,2,2,0,2,4,3,49,7,1,1,12,13,0,31,3,4,1,4,4,4,5,37,1,99,148,321,1,0,1,4,609,0,0,508,1,0,2,0,3,1,3,6,0,1,5,1,49,2,2,154,5,5,2,0,0,0,0,0,0,3,0,1,0,0,0,8,4,11.951180395901384
503,0,3,40,362,1,1,3,3,0,0,0,7,1,2,0,2,4,6,42,43,3,1,7,7,3,0,3,4,1,4,4,4,0,308,2,11,237,364,1,0,1,4,351,0,0,190,1,0,1,0,2,1,3,4,6,0,3,5,42,3,2,134,1,1,2,0,0,63,0,0,0,3,0,3,3,3,1,8,4,11.84939770159144
576,4,3,50,277,1,1,3,3,0,4,0,12,2,2,0,0,4,4,61,59,1,1,7,7,3,0,3,4,1,4,4,4,5,167,6,0,215,144,1,4,1,4,102,24,0,191,0,0,1,0,2,1,3,4,6,0,3,5,61,3,1,61,5,5,2,78,0,28,0,0,0,3,2,1,0,9,2,0,0,11.682668239557323
